
== cv gbm ==
  out:   ./runs/cv_full/gbm
  cv     n_splits=5 n_repeats=20 quick=False
  model  seed=42 n_estimators=500 learning_rate=0.03 max_depth=4 subsample=0.8 min_samples_leaf=5
  data   data_dir=./data/facebook-recruiting-iv-human-or-bot runs_dir=./runs cache_dir=./runs/cache

  [gbm] fold 1/100: AUC=0.8826
  [gbm] fold 2/100: AUC=0.8664
  [gbm] fold 3/100: AUC=0.9049
  [gbm] fold 4/100: AUC=0.8915
  [gbm] fold 5/100: AUC=0.9276
  [gbm] fold 6/100: AUC=0.8530
  [gbm] fold 7/100: AUC=0.9134
  [gbm] fold 8/100: AUC=0.8781
  [gbm] fold 9/100: AUC=0.9174
  [gbm] fold 10/100: AUC=0.8802
  [gbm] fold 11/100: AUC=0.8782
  [gbm] fold 12/100: AUC=0.8730
  [gbm] fold 13/100: AUC=0.8960
  [gbm] fold 14/100: AUC=0.9509
  [gbm] fold 15/100: AUC=0.9007
  [gbm] fold 16/100: AUC=0.8318
  [gbm] fold 17/100: AUC=0.8613
  [gbm] fold 18/100: AUC=0.9133
  [gbm] fold 19/100: AUC=0.9389
  [gbm] fold 20/100: AUC=0.9384
  [gbm] fold 21/100: AUC=0.8407
  [gbm] fold 22/100: AUC=0.8976
  [gbm] fold 23/100: AUC=0.9311
  [gbm] fold 24/100: AUC=0.8740
  [gbm] fold 25/100: AUC=0.8740
  [gbm] fold 26/100: AUC=0.8974
  [gbm] fold 27/100: AUC=0.8888
  [gbm] fold 28/100: AUC=0.8972
  [gbm] fold 29/100: AUC=0.9041
  [gbm] fold 30/100: AUC=0.9008
  [gbm] fold 31/100: AUC=0.9021
  [gbm] fold 32/100: AUC=0.8965
  [gbm] fold 33/100: AUC=0.8897
  [gbm] fold 34/100: AUC=0.9124
  [gbm] fold 35/100: AUC=0.8147
  [gbm] fold 36/100: AUC=0.9000
  [gbm] fold 37/100: AUC=0.8691
  [gbm] fold 38/100: AUC=0.9230
  [gbm] fold 39/100: AUC=0.8789
  [gbm] fold 40/100: AUC=0.8529
  [gbm] fold 41/100: AUC=0.8949
  [gbm] fold 42/100: AUC=0.8902
  [gbm] fold 43/100: AUC=0.8985
  [gbm] fold 44/100: AUC=0.8982
  [gbm] fold 45/100: AUC=0.9024
  [gbm] fold 46/100: AUC=0.9041
  [gbm] fold 47/100: AUC=0.8747
  [gbm] fold 48/100: AUC=0.9448
  [gbm] fold 49/100: AUC=0.8616
  [gbm] fold 50/100: AUC=0.8904
  [gbm] fold 51/100: AUC=0.8564
  [gbm] fold 52/100: AUC=0.8658
  [gbm] fold 53/100: AUC=0.9288
  [gbm] fold 54/100: AUC=0.8518
  [gbm] fold 55/100: AUC=0.9211
  [gbm] fold 56/100: AUC=0.8448
  [gbm] fold 57/100: AUC=0.8882
  [gbm] fold 58/100: AUC=0.8283
  [gbm] fold 59/100: AUC=0.9508
  [gbm] fold 60/100: AUC=0.9259
  [gbm] fold 61/100: AUC=0.9387
  [gbm] fold 62/100: AUC=0.8796
  [gbm] fold 63/100: AUC=0.8941
  [gbm] fold 64/100: AUC=0.9003
  [gbm] fold 65/100: AUC=0.8389
  [gbm] fold 66/100: AUC=0.8702
  [gbm] fold 67/100: AUC=0.8946
  [gbm] fold 68/100: AUC=0.8667
  [gbm] fold 69/100: AUC=0.9445
  [gbm] fold 70/100: AUC=0.9090
  [gbm] fold 71/100: AUC=0.8952
  [gbm] fold 72/100: AUC=0.8731
  [gbm] fold 73/100: AUC=0.8811
  [gbm] fold 74/100: AUC=0.8873
  [gbm] fold 75/100: AUC=0.9169
  [gbm] fold 76/100: AUC=0.9108
  [gbm] fold 77/100: AUC=0.8891
  [gbm] fold 78/100: AUC=0.9393
  [gbm] fold 79/100: AUC=0.8724
  [gbm] fold 80/100: AUC=0.8787
  [gbm] fold 81/100: AUC=0.8740
  [gbm] fold 82/100: AUC=0.9240
  [gbm] fold 83/100: AUC=0.8713
  [gbm] fold 84/100: AUC=0.8735
  [gbm] fold 85/100: AUC=0.9709
  [gbm] fold 86/100: AUC=0.8603
  [gbm] fold 87/100: AUC=0.8614
  [gbm] fold 88/100: AUC=0.9163
  [gbm] fold 89/100: AUC=0.9259
  [gbm] fold 90/100: AUC=0.8904
  [gbm] fold 91/100: AUC=0.8786
  [gbm] fold 92/100: AUC=0.8709
  [gbm] fold 93/100: AUC=0.9126
  [gbm] fold 94/100: AUC=0.9423
  [gbm] fold 95/100: AUC=0.8320
  [gbm] fold 96/100: AUC=0.8782
  [gbm] fold 97/100: AUC=0.9205
  [gbm] fold 98/100: AUC=0.9031
  [gbm] fold 99/100: AUC=0.8990
  [gbm] fold 100/100: AUC=0.8673
gbm: mean=0.8922, std=0.0299, q25=0.8731, q10=0.8561 over 100 folds
