fold,auc
0,0.844053851907255
1,0.8718524058838195
2,0.8588880578409375
3,0.843979057591623
4,0.8937172774869109
5,0.900648217402144
6,0.899900274245824
7,0.7818499127399651
8,0.9212041884816754
9,0.7992146596858638
10,0.7818499127399651
11,0.8517825978558963
12,0.8648716030914984
13,0.931151832460733
14,0.8892670157068062
15,0.7339815507354774
16,0.8919222139117426
17,0.8600099725754176
18,0.8934554973821989
19,0.8414921465968586
20,0.8426826227873349
21,0.8658688606332585
22,0.888182498130142
23,0.8861256544502617
24,0.8730366492146596
25,0.9158563949139865
26,0.9081276489653453
27,0.8116429818000498
28,0.8086387434554975
29,0.8244764397905758
30,0.8924208426826228
31,0.8173772126651707
32,0.8813263525305409
33,0.9321989528795811
34,0.8450261780104712
35,0.9202193966591873
36,0.8103964098728498
37,0.8942907005734231
38,0.8541884816753926
39,0.8965968586387434
40,0.8986537023186236
41,0.8784592370979805
42,0.7667663924208427
43,0.8789267015706805
44,0.8617801047120419
45,0.8611318873098978
46,0.8272251308900522
47,0.9273248566442285
48,0.8954188481675392
49,0.8544502617801047
50,0.862253802044378
51,0.8238593866866118
52,0.8782099227125405
53,0.8304973821989529
54,0.8760471204188482
55,0.831089503864373
56,0.8556469708302168
57,0.8519072550486163
58,0.9312827225130891
59,0.8574607329842932
60,0.9166043380703066
61,0.825729244577412
62,0.8631264023934181
63,0.8721204188481676
64,0.9115183246073298
65,0.8730989778110196
66,0.8570181999501372
67,0.8981550735477437
68,0.8942408376963351
69,0.8205497382198952
70,0.8656195462478184
71,0.9360508601346298
72,0.831588132635253
73,0.8852094240837696
74,0.8666230366492147
75,0.7934430316629268
76,0.9012715033657441
77,0.8921715282971826
78,0.7815445026178011
79,0.9147905759162304
80,0.9046372475691846
81,0.9131139366741461
82,0.7878334579905261
83,0.7985602094240838
84,0.8869109947643978
85,0.8524058838194963
86,0.888057840937422
87,0.8492894540014959
88,0.8147905759162304
89,0.8641361256544502
90,0.8636250311642981
91,0.8363251059586138
92,0.8183744702069309
93,0.9091623036649215
94,0.8589005235602094
95,0.8844427823485415
96,0.887060583395662
97,0.8984043879331838
98,0.8410994764397905
99,0.8331151832460733
