fold,auc
0,0.8734729493891797
1,0.8615058588880578
2,0.9214036399900274
3,0.8835078534031414
4,0.919240837696335
5,0.8488531538269757
6,0.9169783096484667
7,0.8867489404138619
8,0.9104712041884817
9,0.8863219895287958
10,0.8728496634255796
11,0.8628770880079779
12,0.8812640239341809
13,0.9505235602094241
14,0.8928010471204189
15,0.8244826726502119
16,0.843430565943655
17,0.9020194465220643
18,0.9384162303664922
19,0.9392670157068063
20,0.8395038643729743
21,0.9015208177511842
22,0.9174146098229867
23,0.8659685863874345
24,0.8522905759162304
