fold,auc
0,0.8825729244577413
1,0.8663674894041385
2,0.9049488905509848
3,0.8914921465968586
4,0.9276178010471204
5,0.8529668411867365
6,0.913363251059586
7,0.8781475941161805
8,0.9174083769633508
9,0.8802356020942408
10,0.8782099227125405
11,0.8729743206182997
12,0.8960359012715035
13,0.9509162303664921
14,0.90065445026178
15,0.8318374470206931
16,0.8612565445026177
17,0.9133009224632261
18,0.9389397905759163
19,0.9383507853403141
20,0.8406881077038145
21,0.8975941161805037
22,0.931126901022189
23,0.8739528795811518
24,0.8739528795811518
