fold,auc
0,0.8748441785091
1,0.8516579406631762
2,0.8977187733732235
3,0.8883507853403142
4,0.9310209424083769
5,0.8408750934928944
6,0.9148591373722263
7,0.8706058339566193
8,0.9077225130890052
9,0.8698952879581152
10,0.8743455497382198
11,0.8749688357018199
12,0.8967215158314635
13,0.9352094240837697
14,0.8963350785340314
15,0.806033408127649
16,0.8637496883570183
17,0.9116803789578658
18,0.9420811518324608
19,0.9304973821989528
20,0.838880578409374
21,0.9010845175766642
22,0.9225878833208676
23,0.8708115183246075
24,0.8530104712041886
