fold,auc
0,0.8722263774619794
1,0.8570181999501372
2,0.900274245823984
3,0.9092931937172775
4,0.9222513089005235
5,0.8549613562702568
6,0.9101221640488656
7,0.8803290949887808
8,0.9344240837696335
9,0.8740837696335079
10,0.8802044377960607
11,0.8596360009972577
12,0.8699825479930192
13,0.9308900523560208
14,0.8794502617801048
15,0.8066566940912491
16,0.8965345300423834
17,0.8922961854899026
18,0.9320026178010471
19,0.9341623036649216
20,0.8267265021191722
21,0.9049488905509848
22,0.9046372475691847
23,0.9079842931937173
24,0.8644633507853402
