fold,auc
0,0.8085265519820495
1,0.8667414609822987
2,0.8327100473697333
3,0.794240837696335
4,0.8210732984293194
5,0.7519321864871604
6,0.7951882323610073
7,0.8237347294938918
8,0.8484293193717278
9,0.7931937172774869
10,0.7428322114185988
11,0.8070306656694091
12,0.8158813263525305
13,0.8984293193717277
14,0.7706806282722513
15,0.781725255547245
16,0.8318374470206931
17,0.8089005235602094
18,0.793979057591623
19,0.8599476439790575
20,0.706806282722513
21,0.8012964348042882
22,0.8689852904512589
23,0.8539267015706806
24,0.8510471204188481
