fold,auc
0,0.8009224632261281
1,0.8711044627274994
2,0.8285963600099726
3,0.7950261780104712
4,0.831020942408377
5,0.7469458987783596
6,0.7792321116928447
7,0.8146347544253303
8,0.8561518324607329
9,0.7858638743455497
10,0.7515582149090003
11,0.8303415607080529
12,0.8082772375966093
13,0.9215968586387435
14,0.7098167539267015
15,0.781725255547245
16,0.8325853901770133
17,0.8090251807529294
18,0.7804973821989529
19,0.8514397905759162
20,0.7121665420094739
21,0.806656694091249
22,0.8500373971578161
23,0.8439790575916231
24,0.8543193717277487
