fold,auc
0,0.8081525804038894
1,0.8406881077038144
2,0.8266018449264523
3,0.7647905759162305
4,0.8428010471204188
5,0.7213911742707554
6,0.818873098977811
7,0.8340812764896534
8,0.849476439790576
9,0.8099476439790576
10,0.7476938419346797
11,0.8391922213911742
12,0.8177511842433308
13,0.9383507853403141
14,0.7831151832460733
15,0.775617053103964
16,0.8666168037895786
17,0.8032909498878085
18,0.831413612565445
19,0.8400523560209424
20,0.7076788830715532
21,0.8183744702069309
22,0.8841934679631014
23,0.8472513089005236
24,0.87434554973822
