fold,auc
0,0.8585140862627774
1,0.9289454001495887
2,0.9066317626527051
3,0.8244764397905759
4,0.8621727748691099
5,0.8535277985539764
6,0.8229867863375717
7,0.74981301421092
8,0.868913612565445
9,0.7674083769633507
10,0.7893293443031663
11,0.8419346796310146
12,0.8903016704063824
13,0.9048429319371727
14,0.9048429319371728
15,0.7796060832710047
16,0.8874345549738221
17,0.8087758663674893
18,0.8636125654450262
19,0.9032722513089005
20,0.8368237347294939
21,0.8151333831962104
22,0.8350785340314136
23,0.8941099476439791
24,0.9134816753926701
