fold,auc
0,0.7985539765644478
1,0.8975317875841436
2,0.8462976813762154
3,0.7841623036649216
4,0.8676701570680628
5,0.8453004238344553
6,0.8688606332585389
7,0.8571428571428571
8,0.9003926701570681
9,0.7171465968586388
10,0.7596609324358016
11,0.8428072799800549
12,0.818997756170531
13,0.9246073298429319
14,0.8658376963350785
15,0.7083021690351533
16,0.9038893044128646
17,0.8277237596609325
18,0.8867801047120418
19,0.9145287958115184
20,0.7304911493393169
21,0.8630017452006981
22,0.8283470456245325
23,0.8909685863874346
24,0.9223821989528797
