fold,auc
0,0.7903266018449264
1,0.8946646721515832
2,0.8895537272500623
3,0.8638743455497382
4,0.894371727748691
5,0.8949139865370231
6,0.8537771129394166
7,0.7781101969583645
8,0.9157068062827225
9,0.837958115183246
10,0.8224881575666916
11,0.8079032660184493
12,0.8577661431064572
13,0.9289267015706806
14,0.874214659685864
15,0.7464472700074795
16,0.899401645474944
17,0.8264771877337322
18,0.8721204188481675
19,0.8760471204188481
20,0.7842183994016455
21,0.8471702817252554
22,0.8419346796310148
23,0.8959424083769634
24,0.9205497382198953
