fold,auc
0,0.8093991523310895
1,0.8453004238344551
2,0.8544003989030167
3,0.7668848167539267
4,0.8198952879581153
5,0.9037646472201446
6,0.8485415108451757
7,0.7951882323610072
8,0.9032722513089005
9,0.7988219895287958
10,0.7385938668661182
11,0.8591373722263774
12,0.8272251308900523
13,0.9383507853403139
14,0.9058900523560209
15,0.8380703066566941
16,0.8824482672650212
17,0.8428072799800549
18,0.8695026178010472
19,0.8994764397905759
20,0.7696335078534031
21,0.8466716529543754
22,0.87521815008726
23,0.8769633507853403
24,0.8917539267015707
