fold,auc
0,0.8516579406631763
1,0.8830715532286213
2,0.8878085265519821
3,0.794240837696335
4,0.8604712041884816
5,0.8652455746696583
6,0.8854400398903016
7,0.8199950137122912
8,0.893717277486911
9,0.743586387434555
10,0.8027923211169283
11,0.8899276988282224
12,0.8578908002991772
13,0.9290575916230366
14,0.8509162303664921
15,0.7903266018449264
16,0.8823236100723011
17,0.8739715781600599
18,0.868193717277487
19,0.8291884816753926
20,0.7442034405385192
21,0.8227374719521318
22,0.800299177262528
23,0.8698952879581152
24,0.9178010471204188
