fold,auc
0,0.736848666168038
1,0.7289329344303166
2,0.7398404387933184
3,0.7246073298429319
4,0.7096858638743456
5,0.7346048366990775
6,0.7005110944901521
7,0.7282473198703564
8,0.7520942408376963
9,0.7222513089005236
10,0.7645225629518824
11,0.6903515332834704
12,0.7535527299925207
13,0.7387434554973822
14,0.7237565445026178
15,0.7015706806282722
16,0.7254425330341561
17,0.7817252555472451
18,0.7125
19,0.7386780104712041
20,0.7271254051358763
21,0.6927200199451509
22,0.7221391174270755
23,0.7361256544502618
24,0.7647251308900523
