fold,auc
0,0.736848666168038
1,0.7279356768885565
2,0.7372226377461979
3,0.724607329842932
4,0.7104712041884816
5,0.7348541510845176
6,0.6982049364248317
7,0.7238843181251557
8,0.7510471204188482
9,0.7233638743455497
10,0.7308651209174769
11,0.6923460483669908
12,0.7590376464722015
13,0.7403141361256544
14,0.7268324607329844
15,0.7013213662428321
16,0.7217028172525555
17,0.7782348541510845
18,0.7104057591623036
19,0.737434554973822
20,0.7294938917975567
21,0.6955871353777112
22,0.7228870605833957
23,0.7393979057591623
24,0.7618455497382198
