fold,auc
0,0.736848666168038
1,0.7231987035651957
2,0.7392171528297182
3,0.7251308900523561
4,0.7145287958115182
5,0.7356020942408377
6,0.6964597357267515
7,0.725130890052356
8,0.7526178010471204
9,0.7280104712041884
10,0.7288706058339567
11,0.6947145350286712
12,0.7523061580653203
13,0.7312827225130891
14,0.7223821989528796
15,0.7021939665918724
16,0.7536150585888806
17,0.780852655198205
18,0.7147251308900524
19,0.7325916230366492
20,0.7294938917975567
21,0.6952131637995512
22,0.7267514335577162
23,0.7358638743455497
24,0.7628926701570681
