fold,auc
0,0.8026676639242084
1,0.7238219895287958
2,0.7351034654699575
3,0.724607329842932
4,0.7102094240837697
5,0.7429568686113188
6,0.6965220643231114
7,0.725629518823236
8,0.7524869109947643
9,0.7267015706806282
10,0.7784218399401646
11,0.68810770381451
12,0.7666417352281226
13,0.7354712041884817
14,0.7284031413612566
15,0.7024432809773123
16,0.7233233607579157
17,0.7771129394166043
18,0.7119764397905759
19,0.7337696335078535
20,0.7293692346048366
21,0.8578284717028173
22,0.7231363749688358
23,0.7367801047120419
24,0.7611910994764397
