fold,auc
0,0.9020194465220643
1,0.9445275492395911
2,0.9091249065071054
3,0.8858638743455497
4,0.9435863874345549
5,0.9351782597855895
6,0.9118673647469459
7,0.906382448267265
8,0.9475130890052356
9,0.8952879581151832
10,0.899900274245824
11,0.8716030914983794
12,0.9323111443530292
13,0.9730366492146597
14,0.9130890052356021
15,0.8985290451259038
16,0.9210919970082273
17,0.8906756419845425
18,0.9547120418848167
19,0.9653141361256544
20,0.868237347294939
21,0.9222139117427076
22,0.9380453752181501
23,0.893062827225131
24,0.9468586387434555
